state_std,total_age_17,total_age_5_17
Andaman and Nicobar Islands,1046,13
Andhra Pradesh,1974434,321148
Arunachal Pradesh,30660,5783
Assam,928098,84480
Bihar,4434327,380023
Chandigarh,70228,13133
Chhattisgarh,1840231,165207
Dadra and Nagar Haveli and Daman and Diu,6847,1617
Delhi,1263399,175535
Goa,31845,3275
Gujarat,1615853,208474
Haryana,1026826,139314
Himachal Pradesh,129790,19424
Jammu and Kashmir,403,23
Jharkhand,1301813,99376
Karnataka,1430304,264981
Kerala,683888,61064
Ladakh,4360,1375
Lakshadweep,1006,170
Madhya Pradesh,2505840,407098
Maharashtra,4781280,273322
Manipur,260085,41464
Meghalaya,78952,8426
Mizoram,36604,5302
Nagaland,32477,4314
Odisha,964566,147499
Puducherry,28067,4696
Punjab,825029,56866
Rajasthan,2560391,257224
Sikkim,18785,1555
Tamil Nadu,1896590,315638
Telangana,1387649,242259
Tripura,126222,11791
Uttar Pradesh,7752020,790308
Uttarakhand,413716,49926
West Bengal,3630176,242561
India,44073807,4804664
