,Region,census_age_5_17,census_adults,demo_under_18,demo_over_18,enrol_under_18,enrol_over_18,adult_demo_to_census,adult_enrol_to_census,child_demo_to_census,child_enrol_to_census
0,Andaman & Nicobar Islands,468571,451321,13.0,1046.0,5.0,0.0,0.002317640880880792,0.0,2.7743927814568124e-05,1.0670741467141586e-05
1,Andhra Pradesh,27589753,84350704,321148.0,1974434.0,13746.0,1495.0,0.023407439492146978,1.7723622081447003e-05,0.011640118706390739,0.0004982284546005178
2,Arunachal Pradesh,402194,1268360,5783.0,30660.0,2236.0,151.0,0.024172947743542842,0.00011905137342710271,0.014378633196914922,0.005559506108992178
3,Assam,11104516,30699973,84480.0,928098.0,66085.0,22877.0,0.030231231799454677,0.0007451798084643266,0.007607715635692722,0.005951182383815738
4,Bihar,45751360,96509444,380023.0,4434327.0,334802.0,11908.0,0.045947078505602,0.00012338688843757095,0.008306266742671693,0.007317858966378267
5,Chandigarh,2547875,1424145,13133.0,70228.0,211.0,36.0,0.04931239445421639,2.5278324889670645e-05,0.00515449148800471,8.281410979738017e-05
6,Chhattisgarh,9046665,24036197,165207.0,1840231.0,18769.0,1997.0,0.07656082199692406,8.308302681992496e-05,0.018261646695218625,0.0020746871913572573
7,Dadra & Nagar Haveli,220081,275829,1617.0,6847.0,88.0,4.0,0.024823350699165064,1.4501738395890207e-05,0.007347294859619867,0.00039985278147591113
8,Daman & Diu,141328,193881,,,,,,,,
9,Goa,541977,1491379,3275.0,31845.0,254.0,163.0,0.021352721206346608,0.00010929482043129212,0.006042691848547078,0.00046865457390258256
10,Gujarat,25724190,59161723,208474.0,1615853.0,71182.0,16336.0,0.027312473641107445,0.00027612448001218624,0.008104200754231718,0.002767123085313862
11,Haryana,14679421,25100728,139314.0,1026826.0,9110.0,1100.0,0.04090821588919652,4.382343014114969e-05,0.009490428811872075,0.0006205966842970169
12,Himachal Pradesh,2610907,6829128,19424.0,129790.0,661.0,186.0,0.019005354710001043,2.7236273796595993e-05,0.007439560275413869,0.00025316872642342295
13,INDIA,501245167,1180401246,4804664.0,44073807.0,1712194.0,167553.0,0.03733798752699724,0.0001419458006908949,0.00958545701050121,0.0034158813146222314
14,Jammu & Kashmir,5948850,11634614,23.0,403.0,22.0,0.0,3.463802065113634e-05,0.0,3.866293485295477e-06,3.6981937685435e-06
15,Jharkhand,12602197,30887273,99376.0,1301813.0,57539.0,1449.0,0.04214723002577793,4.691252607506011e-05,0.007885609152118476,0.004565791187044609
16,Karnataka,24975024,61018776,264981.0,1430304.0,33863.0,10110.0,0.023440391528010984,0.00016568670600668883,0.01060983965420814,0.0013558745729333433
17,Kerala,7581348,34884018,61064.0,683888.0,18590.0,2675.0,0.01960462238036914,7.668268030362787e-05,0.00805450429132128,0.0024520705288821987
18,Lakshadweep,27780,67278,170.0,1006.0,10.0,1.0,0.014952882071405214,1.486369987217218e-05,0.006119510439164867,0.0003599712023038157
19,Madhya Pradesh,34296141,70079344,407098.0,2505840.0,116381.0,9599.0,0.03575718402843497,0.00013697331413376244,0.011870081826407234,0.0033934138537627307
20,Maharashtra,48717999,110931977,273322.0,4781280.0,82116.0,8209.0,0.043101007746395796,7.400030380780107e-05,0.005610287893802864,0.0016855372077165978
21,Manipur,1395757,2730676,41464.0,260085.0,8053.0,263.0,0.09524564613304544,9.631314736717208e-05,0.02970717682232652,0.0057696289540371285
22,Meghalaya,1523068,2742426,8426.0,78952.0,53305.0,35287.0,0.02878910862134475,0.012867074626626207,0.005532254633410984,0.03499843736458254
23,Mizoram,649184,1066608,5302.0,36604.0,1295.0,495.0,0.034318137497562365,0.0004640880248413663,0.008167176024054814,0.001994811948538473
24,NCT OF Delhi,15379438,17514092,175535.0,1263399.0,22296.0,3050.0,0.0721361404290899,0.00017414548239212172,0.011413616024200624,0.0014497278769224208
25,Nagaland,1850199,2113884,4314.0,32477.0,9953.0,1122.0,0.01536366233908767,0.0005307765232150865,0.0023316410829321605,0.005379421348730596
26,Odisha,14234709,41331196,147499.0,964566.0,22817.0,739.0,0.02333748096716098,1.7879956824864202e-05,0.010361925909409177,0.0016029129924608925
27,Puducherry,635369,1172556,4696.0,28067.0,195.0,44.0,0.02393659663163209,3.7524860219895683e-05,0.007390980674222381,0.0003069082690531014
28,Punjab,10377247,27254792,56866.0,825029.0,12350.0,3172.0,0.030270970330648645,0.00011638320336475142,0.00547987341922188,0.0011901036951322446
29,Rajasthan,36828921,66605523,257224.0,2560391.0,113123.0,5555.0,0.03844112146675885,8.340149209548283e-05,0.006984293675071284,0.003071580620024138
30,Sikkim,294442,594584,1555.0,18785.0,1047.0,106.0,0.03159351748449336,0.00017827590382519544,0.00528117591919631,0.0035558785771051685
31,Tamil Nadu,18912769,70210317,315638.0,1896590.0,37227.0,1249.0,0.027012981582179723,1.778940835717919e-05,0.01668914795078394,0.0019683527039324597
32,Tripura,1566316,3797953,11791.0,126222.0,3654.0,255.0,0.03323421853824942,6.714143118674718e-05,0.007527855170987208,0.0023328625896690065
33,Uttar Pradesh,89769466,190725780,790308.0,7752020.0,479682.0,17902.0,0.0406448462289681,9.386250773230552e-05,0.008803750709623248,0.0053434872833041025
34,Uttarakhand,4279651,9830620,49926.0,413716.0,5479.0,339.0,0.042084426007718743,3.4484091542547675e-05,0.01166590453286962,0.001280244580691276
35,West Bengal,39296495,92768677,242561.0,3630176.0,91410.0,8510.0,0.03913148400294638,9.173354924529106e-05,0.006172586130137052,0.0023261616589469367
